PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,POS,HANDED,DRAFTED,SIGNING TEAM,TYPE,SIGNING AGE,CLAUSE,LENGTH,EXPIRY,EXP. YEAR,CAP HIT,AAV,SALARY,BASE SALARY,S.BONUS,P.BONUS,season,Y_Salary_Cap,Y_Salary_Cap_Percentage
Alex Ovechkin,WSH,27,"Sep. 17, 1985",Russia,LW,Right,1 - Round 1 - 2004 (WSH),WSH,Standard (1-way),22,,13,UFA,2021,"$9,538,462","$9,538,462","$9,000,000","$9,000,000",$0,$0,2013-14,64300000,0.1483431104199067
Evgeni Malkin,PIT,26,"Jul. 31, 1986",Russia,C,Left,2 - Round 1 - 2004 (PIT),PIT,Standard (1-way),21,NMC,5,UFA,2014,"$8,700,000","$8,700,000","$7,500,000","$7,500,000",$0,$0,2013-14,64300000,0.13530326594090203
Sidney Crosby,PIT,25,"Aug. 7, 1987",Canada,C,Left,1 - Round 1 - 2005 (PIT),PIT,Standard (1-way),25,NMC,12,UFA,2025,"$8,700,000","$8,700,000","$12,000,000","$12,000,000",$0,$0,2013-14,64300000,0.13530326594090203
Corey Perry,EDM,28,"May 16, 1985",Canada,RW,Right,28 - Round 1 - 2003 (ANA),ANA,Standard (1-way),28,NMC,8,UFA,2021,"$8,625,000","$8,625,000","$7,000,000","$7,000,000",$0,$0,2013-14,64300000,0.13413685847589424
Eric Staal,-,28,"Oct. 29, 1984",Canada,C,Left,2 - Round 1 - 2003 (CAR),CAR,Standard (1-way),23,NTC,7,UFA,2016,"$8,250,000","$8,250,000","$9,250,000","$9,250,000",$0,$0,2013-14,64300000,0.12830482115085537
Ryan Getzlaf,-,28,"May 10, 1985",Canada,C,Right,19 - Round 1 - 2003 (ANA),ANA,Standard (1-way),27,NMC,8,UFA,2021,"$8,250,000","$8,250,000","$6,500,000","$4,500,000","$2,000,000",$0,2013-14,64300000,0.12830482115085537
Shea Weber,ARI,27,"Aug. 14, 1985",Canada,RD,Right,49 - Round 2 - 2003 (NSH),NSH,Standard (1-way),26,,14,UFA,2026,"$7,857,143","$7,857,143","$14,000,000","$1,000,000","$13,000,000",$0,2013-14,64300000,0.1221950699844479
Rick Nash,-,29,"Jun. 16, 1984",Canada,"LW, RW",Left,1 - Round 1 - 2002 (CBJ),CBJ,Standard (1-way),26,NMC,8,UFA,2018,"$7,800,000","$7,800,000","$7,800,000","$7,800,000",$0,$0,2013-14,64300000,0.12130637636080871
Ryan Suter,DAL,28,"Jan. 21, 1985",United States,LD,Left,7 - Round 1 - 2003 (NSH),MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$12,000,000","$2,000,000","$10,000,000",$0,2013-14,64300000,0.11723891135303266
Zach Parise,COL,28,"Jul. 28, 1984",United States,LW,Left,17 - Round 1 - 2003 (NJD),MIN,Standard (1-way),27,NMC,13,UFA,2025,"$7,538,462","$7,538,462","$12,000,000","$2,000,000","$10,000,000",$0,2013-14,64300000,0.11723891135303266
